Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
172,Trayce Jackson-Davis,PF,23,GSW,65,13,16.3,3.4,4.9,0.697,0,0,0,3.4,4.9,0.699,0.697,1.1,1.9,0.565,2,3,5,1.2,0.4,1.1,0.7,1.6,7.9
173,Jordan Hawkins,SG,21,NOP,67,10,17.3,2.6,6.8,0.382,1.6,4.4,0.366,1,2.4,0.411,0.501,1,1.2,0.838,0.4,1.8,2.2,1,0.3,0.1,0.6,1.1,7.8
174,Precious Achiuwa,PF-C,24,TOT,71,18,22.3,3.2,6.5,0.502,0.4,1.3,0.263,2.9,5.1,0.565,0.529,1,1.6,0.616,2.6,4,6.7,1.3,0.6,0.9,1.1,2,7.8
175,Royce O'Neale,SF,30,TOT,77,14,24.8,2.7,6.9,0.399,2,5.4,0.37,0.8,1.5,0.5,0.543,0.3,0.4,0.697,0.8,4.1,4.8,2.8,0.8,0.6,0.9,2.2,7.8
176,Marcus Sasser,PG,23,DET,68,8,18.5,2.9,6.8,0.422,1.2,3.2,0.378,1.7,3.6,0.462,0.511,0.8,0.9,0.864,0.1,1.6,1.8,3.3,0.6,0.1,1.2,1.5,7.7
177,Isaiah Hartenstein,C,25,NYK,73,47,25.1,3.1,4.8,0.649,0,0,0.333,3.1,4.8,0.651,0.65,1.5,2.1,0.72,3.2,5,8.2,2.4,1.2,1.1,1.2,2.8,7.7
178,Toumani Camara,PF,23,POR,70,49,24.8,2.8,6.3,0.45,0.8,2.5,0.337,2,3.8,0.523,0.516,1.1,1.4,0.758,2,2.9,4.9,1.2,0.9,0.5,1.2,2.5,7.5
179,Cameron Payne,PG,29,TOT,76,10,16.8,2.7,6.2,0.432,1.3,3.4,0.39,1.3,2.8,0.483,0.539,0.8,0.9,0.866,0.3,1.3,1.5,2.6,0.5,0.1,0.9,1.6,7.4
180,Paul Reed,C,24,PHI,80,24,19.3,3.1,5.8,0.538,0.3,0.7,0.375,2.9,5.1,0.56,0.56,0.8,1,0.732,2.4,3.6,5.9,1.3,0.8,1,0.8,2.4,7.3
181,Vasilije Micić,PG,30,TOT,58,19,19.8,2.7,6.2,0.432,0.7,2.6,0.275,2,3.7,0.542,0.489,1.1,1.3,0.813,0.2,1.2,1.5,4.4,0.5,0.1,1.6,1.2,7.1
182,Christian Braun,SG,22,DEN,80,4,20.1,2.7,5.8,0.459,0.7,1.9,0.383,1.9,3.9,0.497,0.523,1.1,1.6,0.69,0.9,2.7,3.7,1.6,0.5,0.4,0.7,1.7,7.1
